locationName,link,thumbnail,location,category,reviewContent,reviewDate,rating
Little Caesars Pizza,https://www.yelp.com/biz/little-caesars-pizza-bountiful,https://s3-media4.fl.yelpcdn.com/bphoto/uWubCMCAjvxxj7r_McAghQ/90s.jpg,"74 E 500th SBountiful, UT 84010",Pizza,"I ordered and paid for $6 Extra Most Bestest. They said I would have to wait a few minutes, so I did. A few minutes later I got my pizza and left. I later discovered that they put a 15-20 minute old $5 pepperoni pizza in my Extra Most Bestest box. I guess that's their way of refreshing their inventory when they made too many $5 pizzas and not enough $6 pizzas. I'll be on the lookout for this now.",12/2/2018,1.0 star rating
Carl’s Jr,https://www.yelp.com/biz/carls-jr-cedar-city,https://s3-media3.fl.yelpcdn.com/bphoto/MLj0jlW78hynrnyLbHBmTQ/90s.jpg,"2645 N Canyon Ranch DrCedar City, UT 84721","Burgers,
                    Fast Food",All star meals are a great deal for $5. Big hamburger is $1.99. Service was fast and food was good.,10/30/2017,4.0 star rating
HomeTown Buffet,https://www.yelp.com/biz/hometown-buffet-covina,https://s3-media2.fl.yelpcdn.com/bphoto/kCeKfp3pldenkCjJ6ALqQw/90s.jpg,"1318 N Azusa AveCovina, CA 91722","American (Traditional),
                    Breakfast & Brunch,
                    Buffets","Sunday breakfast was $8.99. Not turrible, but drinks are overpriced at $2.49 so I got water. The water at one of the drink machines has a funky taste. The waitress was mostly a table busser. Food was good.",10/29/2017,3.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-casa-grande,https://s3-media3.fl.yelpcdn.com/bphoto/8lF1uK_zCW-Lmlh0CZnPUA/90s.jpg,"1729 E Florence BlvdCasa Grande, AZ 85122","Fast Food,
                    Tex-Mex,
                    Mexican",Cravings menu is  $1 as it should be. Food was good and very fast. The menu doesn't show the cravings deal or meal deals.,10/25/2017,5.0 star rating
Long John Silver’s,https://www.yelp.com/biz/long-john-silvers-casa-grande,https://s3-media2.fl.yelpcdn.com/bphoto/EqBiNVQkqFi3nLsjo83PLg/90s.jpg,"1729 E Florence BlvdCasa Grande, AZ 85122","Seafood,
                    Fast Food","$6.49 for 2 fish and fries. Not turrible. I came here thinking it was only taco bell, but both restaurants are in the same building. Food was good and very fast.",10/25/2017,4.0 star rating
Wendy’s,https://www.yelp.com/biz/wendys-palm-springs,https://s3-media4.fl.yelpcdn.com/bphoto/A-_RSeWEva1bQyXhRo0D7g/90s.jpg,"6605 N Indian Canyon DrPalm Springs, CA 92240","Fast Food,
                    Burgers","They have a couple $5 meals that aren't turrible, but other than that prices aren't looking so good. They don't have a self serve drink machine just like most Wendy's. Food was good and very fast.",10/24/2017,4.0 star rating
Olive Garden Italian Restaurant,https://www.yelp.com/biz/olive-garden-italian-restaurant-west-valley,https://s3-media3.fl.yelpcdn.com/bphoto/4fbhptst9YrlayM0mYrUow/90s.jpg,"3515 S Constitution BlvdWest Valley, UT 84119","Italian,
                    Salad",The never ending pasta for $9.99 was a decent deal. I hardly ever eat here because it isn't cheap without that deal. The waiter was slacking on refills. The food was good as usual.,10/23/2017,4.0 star rating
Arby’s,https://www.yelp.com/biz/arbys-mountain-home-4,https://s3-media3.fl.yelpcdn.com/bphoto/LLMXOcdhjzO1JCQsFwAcew/90s.jpg,"1050 Hwy 20Mountain Home, ID 83647","Fast Food,
                    Sandwiches","I don't eat Arby's often due to their rip off prices, but between 2 and 5 pm they have a dollar menu that's not turrible. Some of their sliders are pretty good.",10/19/2017,4.0 star rating
Carl’s Jr - CLOSED,https://www.yelp.com/biz/carls-jr-camp-verde-2,https://s3-media2.fl.yelpcdn.com/bphoto/S-aIzEY3vE1MCjqUxh74qw/90s.jpg,"362 N Goswick WayCamp Verde, AZ 86322",Fast Food,"All-star meals are a great deal at $5, big hamburgers are stupidly overpriced at  $2.49. Service wasn't very quick even with only 4 people in the lobby. Food was good.",10/4/2017,3.0 star rating
Taco Time,https://www.yelp.com/biz/taco-time-ely,https://s3-media4.fl.yelpcdn.com/bphoto/qEGJYK7BSfKeZBC-W0pN9w/90s.jpg,"1690 S 7th St EEly, NV 89301",Mexican,"No great values, but the 4 for $5.55 isn't turrible. Crisp bean burritos were good. Service was good and fast.",9/23/2017,4.0 star rating
